N,time,operations,comparisons
10,540,10,10,
50,820,50,50,
100,1380,100,100,
500,8200,500,500,
1000,12680,1000,1000,
5000,37900,5000,5000,
10000,78000,10000,10000,
50000,405840,50000,50000,
100000,537020,100000,100000,
500000,1710440,500000,500000,
