N,time,operations,comparisons
10,500,10,10,
50,1340,50,50,
100,1320,100,100,
500,6460,500,500,
1000,11320,1000,1000,
5000,56580,5000,5000,
10000,102599,10000,10000,
50000,459099,50000,50000,
100000,754880,100000,100000,
500000,3183680,500000,500000,
