N,assignments,math_operation,comparisons,access,logic,statements
10,23,10,10,22,0,1,
50,103,50,50,102,0,1,
100,203,100,100,202,0,1,
500,1003,500,500,1002,0,1,
1000,2003,1000,1000,2002,0,1,
5000,10003,5000,5000,10002,0,1,
10000,20003,10000,10000,20002,0,1,
50000,100003,50000,50000,100002,0,1,
100000,200003,100000,100000,200002,0,1,
500000,1000003,500000,500000,1000002,0,1,
