N,assignments,math_operation,comparisons,access,logic,statements
10,12,10,10,11,0,1,
50,52,50,50,51,0,1,
100,102,100,100,101,0,1,
500,502,500,500,501,0,1,
1000,1002,1000,1000,1001,0,1,
5000,5002,5000,5000,5001,0,1,
10000,10002,10000,10000,10001,0,1,
50000,50002,50000,50000,50001,0,1,
100000,100002,100000,100000,100001,0,1,
500000,500002,500000,500000,500001,0,1,
