N,assignments,math_operation,comparisons,access,logic,statements
10,122,110,120,430,10,11,
50,2602,2550,2600,10150,50,51,
100,10202,10100,10200,40300,100,101,
500,251002,250500,251000,1001500,500,501,
1000,1002002,1001000,1002000,4003000,1000,1001,
5000,25010002,25005000,25010000,100015000,5000,5001,
10000,100020002,100010000,100020000,400030000,10000,10001,
