N,time,operations,comparisons
10,940,12,10,
50,680,52,50,
100,4700,102,100,
500,4460,502,500,
1000,12320,1002,1000,
5000,46760,5002,5000,
10000,85020,10002,10000,
50000,445240,50002,50000,
100000,755200,100002,100000,
500000,7483380,500002,500000,
