N,time,operations,comparisons
10,1000,13,10,
50,1460,53,50,
100,760,103,100,
500,4220,503,500,
1000,9240,1003,1000,
5000,46440,5003,5000,
10000,111980,10003,10000,
50000,409420,50003,50000,
100000,637440,100003,100000,
500000,3166500,500003,500000,
